HourOfDay,DayOfWeek,CongestionFactor,PrecipitationMm
0,1,0.89,3.6
0,2,1.01,0.0
0,3,0.94,0.0
0,4,0.83,0.0
0,5,0.98,0.0
0,6,0.95,0.0
0,7,1.07,3.8
1,1,1.04,0.0
1,2,1.04,0.5
1,3,0.99,0.0
1,4,0.83,3.8
1,5,1.07,3.3
1,6,0.89,0.0
1,7,0.8,0.0
2,1,0.87,0.0
2,2,0.81,0.0
2,3,0.83,0.0
2,4,0.82,0.0
2,5,0.85,0.0
2,6,0.94,0.0
2,7,0.99,0.0
3,1,1.06,0.0
3,2,0.84,0.0
3,3,0.91,0.0
3,4,0.92,1.4
3,5,1.09,0.0
3,6,1.05,0.0
3,7,0.98,0.8
4,1,0.83,0.0
4,2,0.9,0.0
4,3,0.99,1.1
4,4,0.81,1.5
4,5,1.07,1.6
4,6,0.8,0.0
4,7,0.93,0.0
5,1,0.92,1.6
5,2,0.86,0.0
5,3,1.08,0.0
5,4,0.91,3.1
5,5,0.94,0.0
5,6,1.0,0.0
5,7,0.96,0.0
6,1,1.04,0.7
6,2,1.05,0.0
6,3,1.17,1.3
6,4,1.12,0.0
6,5,1.12,0.0
6,6,1.08,0.0
6,7,1.02,0.0
7,1,1.75,0.0
7,2,1.77,1.1
7,3,1.7,0.0
7,4,1.7,0.0
7,5,1.84,0.0
7,6,1.76,0.0
7,7,1.7,3.4
8,1,1.74,0.0
8,2,1.82,0.0
8,3,1.73,0.0
8,4,1.67,0.0
8,5,1.7,0.0
8,6,1.88,0.1
8,7,1.71,0.0
9,1,1.73,0.0
9,2,1.89,0.0
9,3,1.8,2.3
9,4,1.79,0.1
9,5,1.8,0.0
9,6,1.79,3.5
9,7,1.7,0.0
10,1,1.24,0.0
10,2,1.28,0.0
10,3,1.0,2.3
10,4,1.07,0.0
10,5,1.22,0.0
10,6,1.28,0.0
10,7,1.29,0.0
11,1,1.04,0.0
11,2,1.28,0.0
11,3,1.1,0.5
11,4,1.04,0.0
11,5,1.1,0.0
11,6,1.29,0.0
11,7,1.2,0.0
12,1,1.12,0.0
12,2,1.13,2.6
12,3,1.17,3.9
12,4,1.3,1.4
12,5,1.23,0.0
12,6,1.17,0.0
12,7,1.23,1.9
13,1,1.24,0.0
13,2,1.26,0.0
13,3,1.2,1.5
13,4,1.21,0.3
13,5,1.18,0.0
13,6,1.3,0.0
13,7,1.13,2.7
14,1,1.27,0.0
14,2,1.17,1.3
14,3,1.18,0.0
14,4,1.1,0.0
14,5,1.18,0.0
14,6,1.06,0.0
14,7,1.04,0.0
15,1,1.27,0.0
15,2,1.28,3.6
15,3,1.14,3.6
15,4,1.29,0.0
15,5,1.11,3.7
15,6,1.21,0.0
15,7,1.22,0.0
16,1,1.22,0.0
16,2,1.28,0.0
16,3,1.28,0.0
16,4,1.29,0.0
16,5,1.19,1.4
16,6,1.08,1.3
16,7,1.08,1.0
17,1,1.86,2.8
17,2,1.9,2.8
17,3,1.64,1.2
17,4,1.88,0.0
17,5,1.63,0.0
17,6,1.63,0.0
17,7,1.9,0.0
18,1,1.63,0.0
18,2,1.73,0.0
18,3,1.86,0.0
18,4,1.88,0.0
18,5,1.65,0.8
18,6,1.75,0.0
18,7,1.86,0.0
19,1,1.8,0.0
19,2,1.8,0.0
19,3,1.8,0.0
19,4,1.86,0.0
19,5,1.8,1.3
19,6,1.74,0.0
19,7,1.66,0.0
20,1,1.25,3.7
20,2,1.0,0.0
20,3,1.22,0.0
20,4,1.0,0.3
20,5,1.17,1.6
20,6,1.08,1.5
20,7,1.13,0.0
21,1,1.1,1.3
21,2,1.21,2.1
21,3,1.01,0.0
21,4,1.06,0.0
21,5,1.03,0.0
21,6,1.24,0.0
21,7,1.24,0.0
22,1,1.0,0.0
22,2,1.01,0.0
22,3,1.3,0.0
22,4,1.18,0.0
22,5,1.03,0.0
22,6,1.03,1.1
22,7,1.21,0.0
23,1,1.12,0.0
23,2,1.23,0.0
23,3,1.25,0.2
23,4,1.03,3.0
23,5,1.03,0.0
23,6,1.0,0.0
23,7,1.07,0.0
