PickupTime,DayOfWeek,DistanceKm,DemandFactor,FinalPrice
06:00,1,9.5,0.92,20.67
06:00,1,16.85,1.38,47.52
06:00,2,8.63,1.21,23.82
06:00,2,12.19,1.16,30.66
06:00,3,4.24,1.59,16.97
06:00,3,12.12,1.18,30.96
06:00,4,11.96,1.47,37.03
06:00,4,19.25,1.05,41.89
06:00,5,19.62,1.56,61.12
06:00,5,11.07,1.14,27.85
06:00,6,14.94,1.2,37.67
06:00,6,8.15,0.94,18.67
06:00,7,8.11,2.45,41.26
06:00,7,19.62,2.09,80.36
07:00,1,2.06,2.9,15.55
07:00,1,17.67,2.63,90.47
07:00,2,5.22,1.56,19.56
07:00,2,9.46,2.82,53.85
07:00,3,12.41,2.58,63.73
07:00,3,6.19,2.24,30.15
07:00,4,14.77,2.72,78.82
07:00,4,16.53,1.77,58.63
07:00,5,17.72,1.75,61.87
07:00,5,16.43,2.29,74.11
07:00,6,5.34,2.34,27.62
07:00,6,11.33,2.93,65.91
07:00,7,2.75,1.66,12.95
07:00,7,19.7,2.73,103.99
08:00,1,4.7,1.77,19.89
08:00,1,11.7,1.65,40.21
08:00,2,7.83,1.48,25.94
08:00,2,14.81,1.53,46.42
08:00,3,19.9,2.87,110.16
08:00,3,16.2,2.64,83.62
08:00,4,8.62,2.49,44.21
08:00,4,15.7,2.17,67.53
08:00,5,3.11,2.4,18.31
08:00,5,7.86,2.38,39.11
08:00,6,9.57,2.92,56.2
08:00,6,5.63,2.63,31.89
08:00,7,14.57,2.29,66.23
08:00,7,3.44,1.66,15.06
09:00,1,19.41,1.77,68.06
09:00,1,4.94,1.86,21.5
09:00,2,11.67,2.23,52.64
09:00,2,2.06,1.41,9.87
09:00,3,10.93,1.7,38.87
09:00,3,12.94,2.68,68.66
09:00,4,3.73,2.21,19.75
09:00,4,9.31,2.66,50.31
09:00,5,19.19,2.07,77.99
09:00,5,6.38,2.81,37.67
09:00,6,2.49,1.93,13.39
09:00,6,9.11,1.68,32.81
09:00,7,14.24,2.23,63.25
09:00,7,6.48,2.06,29.2
10:00,1,14.45,1.42,42.46
10:00,1,3.22,1.64,14.27
10:00,2,5.51,1.89,23.77
10:00,2,5.63,1.12,16.17
10:00,3,18.09,1.43,52.36
10:00,3,7.26,1.76,28.14
10:00,4,14.48,1.97,57.27
10:00,4,16.37,1.32,44.48
10:00,5,9.68,1.48,31.0
10:00,5,11.3,1.82,42.55
10:00,6,13.33,1.01,29.41
10:00,6,8.68,2.03,37.1
10:00,7,2.64,2.09,14.71
10:00,7,14.35,1.54,45.38
11:00,1,10.09,1.32,29.14
11:00,1,15.27,1.67,51.68
11:00,2,6.77,0.95,16.4
